fid,timestamp,text_language,SocialMediaChannel,transcript
18072389128799310,2025-06-29 22:10:33,en,INSTAGRAM,"  I always enjoy evenings like these Took time to just be alone, enjoying my own company and watching the beautiful sunset. It's these days where I truly appreciate life. Didn't think I would be here 5/6 years later. Building a life with Jesus, taking care of my body, healing, and feeling true peace. I encourage you ladies all the time to slow down and take time for yourself. If you're ready to transform your life, my 6 week challenge is going to be closing today! Sign up now ! COMMENT “READY” 🌸🌸 or tap link in my bio! OXYSLEEP knocked me outtt this is by far my fav product to whine down and get a goodnight sleep! ehplabs code LILYFITGIFT (sale ends soon) Wearing womensbest code LILYR Wearing a M in everything! Everything on sale rn (: Bibles linked on my amazon storefront Shopping at costco + sprouts Cleanser cetaphil Body scrub treehut Skincare larocheposayusa"
17944476335888009,2025-07-02 16:39:08,en,INSTAGRAM,  10 essentials for gym baddies: leg day edition ♡ I thought I'd share some of my favorite items I use and keep close by when leg day is approaching • lifting straps from aybl code JAYME • gym bag from gymshark code JAYME • beatsbydre studio pros • stanley_brand quencher protour flip straw tumbler • leg day bundle & lifting gloves can be found in my amazon storefront • ehplabs oxyshred code JAYME (also in my storefront) • converse classic high tops • tripod from amazon also in my storefront what are some of your fav leg day essentials? #fitnesstips #workouttips #legdayessentials #gymessentials #gymessentialsforwomen #workouteqipment #workoutequipmentforwomen #fitnessmotivation
17842480137531931,2025-07-02 17:41:31,en,INSTAGRAM,  Health is wealth bpnsupps honeystinger bloomsupps optimumnutrition ehplabs amazon nutricost_official
99HKlK__DKA,2025-07-03 18:00:10,en,YOUTUBE,"  here we are again...yet ANOTHER time was had in sin city, so come see what we got into this timeee SOCIALS instagram - https://www.instagram.com/princesskalia/ tiktok - https://www.tiktok.com/@princesskalia amazon storefront - https://www.amazon.com/shop/kalianicole depop - https://depop.com/princesskalia everything else - https://bio.site/kalianicole save some $ get $30 with rakuten! if you love online + in-store shopping like me, might as well get some money for it hellooo https://tinyurl.com/rakutenkalia supps - EHPLABS 'KALIA' https://tinyurl.com/ehplabskalia gym fits - DFYNE  'KALIA' https://tinyurl.com/dfynekalia *disclaimer: i may receive a small commission from purchases made through some links above* for business inquiries only: kalianicoleofficial@gmail.com background music ""i'm fly"" (prod. KG) https://www.youtube.com/watch?v=TVC1AeS7bI4&list=RDTVC1AeS7bI4&start_radio=1 keywords: girls trip vegas, vegas girls trip vlog, spend the weekend with us, come to vegas with us, drais beach club, xs nightclub, hakkasan nightclub vegas, what to do in vegas, cosmopolitan vegas, vegas itinerary, vegas trip #KaliaNicole #weekendinmylife #vegasvlog"
17925592098095817,2025-07-05 08:11:11,en,INSTAGRAM,"  Our June favourite's 1. Gua sha, I love her and can honestly tell a massive difference in my appearance when I'm not using it. Mines just off Amazon. 2. rhode pocket blush, they blend like a dream and come in the prettiest colours that really work well with my skin tone. 3. candlesnoud in the sent heavenly oud, this is my signature sent people say they know be I've arrived because they can smell me. It lasts ages and smells like a vanilla dream. 4. perfecttedenergy matcha is so yummy but I recently discovered the vanilla bean and it taste like a cake it's unreal. 5. cosrx_uk snail 96 facial serum is everything you need for glass skin, it's affordable and a little goes a long way. 6. Capri pants, trousers, denim, patterned ones I'll take them all they look expensive to me, very classy and put together. If I see a girl in capris I know she's a baddie. 7. ehplabs oxyshred energy cans, so convenient, come in so many tasty flavours great for the gym or just a cheeky pick me up. Provide clean energy, no crash out. 8. summerfridays gloss i love her, she smells amazing I use it daily. My friend got it me for my birthday and I'll definitely be trying more flavours. 9. eloah_havianas flip flops, these have been stuck to my feet like I stepped in superglue. Comfy, light weight and look cute. 10. canonuk ixus if I've posted a bad arse selfie, my canon took it. It's great that vintage 90s look I love it it's always in my bag on a night out. 11. All denim, double denim, triple denim, denim on denim. I love no matter if it's jeans, a skirt, shorts it looks so cute and put together especially if the denim matches. Same time next month?? #june #junefavorites #survivingmy20s #wellness #selfhelptips #selfhelppodcast #selflove #confidence"
18139621939409375,2025-07-07 04:56:45,en,INSTAGRAM,  I started oxygreens about 2 months ago. Let me tell you I done NOTHING about my gut health at all. Since I've been taking it I've been having so much more energy in my everyday life. And how did I not know the benefits of my skin as well ??? ANYWAYSSSSS I heard a secret (amazon amazonaustralia ) is having upto 40% OFF SALE ON ehplabs ehplabs_ausnz TOMORROW !! So get your cart ready and join me with our oxygreens morning routine. Thank me later
18503668450004349,2025-07-07 05:00:58,en,INSTAGRAM,  I started oxygreens about 2 months ago. Let me tell you I done NOTHING about my gut health at all. Since I've been taking it I've been having so much more energy in my everyday life. And how did I not know the benefits of my skin as well ??? ANYWAYSSSSS I heard a secret (amazon amazonaustralia ) is having upto 40% OFF SALE ON ehplabs ehplabs_ausnz TOMORROW !! So get your cart ready and join me with our oxygreens morning routine. Thank me later
18060316334214364,2025-07-07 06:49:19,en,INSTAGRAM,  You too can have a big haul coming your way. Stock up on all your faves. Take advantage of Amazon  Prime Day July 8th. It's going to be huge! Up to 40%off ehplabs@amazon use my code DONNASTAR #ehplabs_ausnz #ehplabs #oxyshred #amazon
17933904045059690,2025-07-07 08:31:29,en,INSTAGRAM,"  Let's talk glow up tools! 1. Nutrition does the heavy lifting for you. Proteins keep you full, keep your hair and nails strong, and help your muscle grow. 2. FIBREEEEE is your bestie bc we are regular, snatched queens (not blocked up and bloated protein bros). Add veggies or fruit with every meal. I take Oxygreens EVERY morning to help me get my greens in (bc who has time to juice and Oxygreens tastes way better lol). Get my exact one and 10% off using code KIRSTYS10 😍 they're having 40% off very soon btw for their Amazon Prime Day to help you save your $$ 3. High volume foods on lock and desserts in moderation. This helps us stay full and reduces those binge eating days (especially on those luteal phase days 😭). If something isn't working for you body comp wise, come back to the kitchen before you change your workout split! Got questions? Drop them below! #standards #highstandards #selfworth ehplabs amazon"
18089817616628993,2025-07-07 11:04:47,en,INSTAGRAM,"  AMAZON PRIME DAY Be prepared for tomorrow, 8 of July, amazon prime day is coming and and well ehplabs is ready with incredible discounts on Amazon Take care of your gut health with Oxygreen, push your limits during your workouts with Oxyshred and bcaa, pump with creatine and feed your muscles with a good dose of protein. Don't forget that on EHPLABS page or app you can use my code: NICOLO10GWP  for an extra 10% discount Don't wait tomorrow, prepare your cart today #australia #sydney #fitnessmotivation #getfit #gymmotivation #ehplabs #ehplabs_ausnz"
18114558754492607,2025-07-07 11:43:26,en,INSTAGRAM,"  Amazon Prime Day!!! amazon Don't miss out the sale up to 40% off oxygen green from ehplabs EHPlabs!!! Can't wait for it! Speaking of my daily routine of my gut care, green apple oxygen green will be the best choice for the morning! Always here with me, no matter where I go, and I will bring with me!!! ☺️☺️☺ Lately, I've been starting my mornings with Green Apple OxyShred 🍏—and honestly, it's a game changer. It gives me that clean boost of energy without the jitters or crash. Boosts metabolism Helps with fat burning Supports gut health with probiotics Tastes so refreshing (like green apple candy but guilt-free!) Whether I'm heading to the gym, working from home, or just need a little mid-day pick-me-up—it's my go-to. Feeling good, energized, and ready to take on the day Here is the discount code for you to order online- JENNYMCDONALD10 #OxyShred #EHPlabs #GreenOxyShred #HealthyHabits #DailyRoutine #CleanEnergy #FitnessLifestyle #MorningBoost #GutHealth #NoCrashEnergy #personaltrainerlife #personaltrainer #fitnesslife #fitness #fitnessfreaks #gym #gymlife #gymrats #gymtime #discountcode #discount"
18409660543108136,2025-07-07 15:01:04,en,INSTAGRAM,  Glute focused! Save for next time ✨ 1. Lunges (4x10) 2. Sumo squats (4x15) 3. Hip thrust (4x12) 4. RDL's. (4x12) oxyshredenergy ehplabs code: stephaniepalma10 for $OFF✨ • • • #explore #explorepage #reels #viral #inspo #fitness #motivation #gymmotivation #gymgirl #gym #legday #reelsinstagram #fitnessmotivation #foryou
18050532533400515,2025-07-07 23:25:44,en,INSTAGRAM,"  Lean, green Queen OxyGreens are a Summer staple, and they are the best tasting greens on the market I've tried. OxyGreens contains a prebiotic fibre complex which includes; Chicory Root (Inulin), Green Kiwi Fruit, Green Banana, and Larch. These superfoods help to nourish the good gut bacteria (microbiome) and promote an overall healthy digestive system which improves nutrient absorption in the gut lining, promotes bowel regularity and reduces stomach bloating. Unlike most greens powders on the market, OxyGreens is also the best tasting greens powder and is the first of its kind to have no grassy or bitter after taste and is available in a number of flavours. Oxygreens is my healthy gut go-to! You see the results! Every day I prioritize my gut health and drinking a greens juice every day has helped me improve my digestion. Since I've been doing so I've noticed a slimmer figure including a slimmer waist because I am able to have a positive flow in being regular. My body does its thing naturally and I feel happy I have Oxygreens to help me do so Some of the weight many people hold on to isn't actually fat. It's just a back up in their digestive track. You could literally be holding on to so much by not being able to go regularly. So let's get you flowing and glowing 🌸💕✨ ✨Products featured in video ✨ehplabs Oxygreens Both available @ ehplabs.com amazon Prime Day sale July 8 and I'll be stocking up! ✅ Up to 50% Off Sitewide ✅ Special Discounts on OxyGreens Use Code MANDY10 #oxygreens #guthealth #fitness #yoga #weightloss #ehplabs #fitness #fit #gym #greens #healthy #healthylifestyle #bodybuilding #transformation #abs #glowup #glow #challenge #summer #gymtok #gymgirl #supplements #wellness #skincare #skinhealth #bloating #bloatingtips #inflammation #weightloss #fatloss"
17884861359321923,2025-07-07 23:35:55,en,INSTAGRAM,"  Gut check… and cart check ✅ Amazon Prime Day is HERE, and let's just say, I'm clearing space in the stack for this one OxyGreens has been part of my daily routine for gut health, digestion, and that inside-out glow, and if you've been thinking about trying it, this is your sign. July 8, save the date Up to 40% OFF on Amazon My Prime Picks are locked in ehplabs amazon amazonaustralia ehplabs_ausnz #AmazonPrimeDay #EHPlabs #OxyGreens #GutHealthGlowUp #FitnessStack #SupplementRoutine #PrimePicks"
10153296892784853_10163751461184853,2025-07-07 23:53:48,en,FACEBOOK,"  Lean, green Queen 🌿💗OxyGreens are a Summer staple, and they are the best tasting greens on the market I've tried.OxyGreens contains a prebiotic fibre complex which includes; Chicory Root (Inulin), Green Kiwi Fruit, Green Banana, and Larch. These superfoods help to nourish the good gut bacteria (microbiome) and promote an overall healthy digestive system which improves nutrient absorption in the gut lining, promotes bowel regularity and reduces stomach bloating. Unlike most greens powders on the market, OxyGreens is also the best tasting greens powder and is the first of its kind to have no grassy or bitter after taste and is available in a number of flavours. Oxygreens is my healthy gut go-to! You see the results! Every day I prioritize my gut health and drinking a greens juice every day has helped me improve my digestion. Since I've been doing so I've noticed a slimmer figure including a slimmer waist because I am able to have a positive flow in being regular. My body does its thing naturally and I feel happy I have Oxygreens to help me do so 💗Some of the weight many people hold on to isn't actually fat. It's just a back up in their digestive track. You could literally be holding on to so much by not being able to go regularly. So let's get you flowing and glowing 🌸💕✨✨Products featured in video ✨EHPlabs OxygreensBoth available @ ehplabs.com Amazon.com Prime Day sale July 8 and I'll be stocking up! ✅ Up to 50% Off Sitewide✅ Special Discounts on OxyGreensUse Code MANDY10 💕#oxygreens #guthealth #fitness #yoga #weightloss #ehplabs #fitness #fit #gym #greens #healthy #healthylifestyle #bodybuilding #transformation #abs #glowup #glow #challenge #summer #gymtok #gymgirl #supplements #wellness #skincare #skinhealth #bloating #bloatingtips #inflammation #weightloss #fatloss"
18119810986475526,2025-07-08 01:05:53,en,INSTAGRAM,"  Rooted in routine. Fueled by faith. ehplabs OxyGreens is part of my walk — not just for gut health, but for staying grounded and energized as I serve God and show up with discipline. amazon Prime Day is coming 👀 and this one's too good to skip. Up to 50% off sitewide Special deal on OxyGreens Stock up July 8 #AmazonPrimeDay #DunnDealFitness #FaithAndFitness #GutHealth #GodFirst #EHPLabs"
18412891075111817,2025-07-08 14:20:39,en,INSTAGRAM,"  This is your sign to take your gut health seriously… And now you can take yours seriously too because it's Amazon's Prime Day sale! ehplabs is now available and ON SALE at amazon and now you can shop for your favs & more for UP TO 50% OFF + SPECIAL DISCOUNTS on my fav Oxygreens! Don't miss out on this opportunity, so head on over to Amazon and stock up on your favorites today! #ehplabs #amazon #primeday #Oxygreens #oxyshred #gymgirls #explore"
18318714685235213,2025-07-08 14:28:04,en,INSTAGRAM,"  This is your sign to take your gut health seriously… And now you can take yours seriously too because it's Amazon's Prime Day sale! ehplabs is now available and ON SALE at amazon and now you can shop for your favs & more for UP TO 50% OFF + SPECIAL DISCOUNTS on my fav Oxygreens! Don't miss out on this opportunity, so head on over to Amazon and stock up on your favorites today! #ehplabs #amazon #primeday #Oxygreens #oxyshred #gymgirls #explore"
18309361741244652,2025-07-09 03:05:11,en,INSTAGRAM,  Just a girl w/ her OXYSHREDs ⚡ | Code: JENNYX10 | Want it fast? Get it during amazon PRIME DAY or check out ehplabs website w/ up to 50% off on your favorite OXYSHRED products • • • #gymgirl #gym #fitness #gymmotivation #fitnessjourney #oxyshred #ehplabs #gymtok #explore #explorepage #fitfam #gymgirls #fitnessaddict #Dfyne #Dfyneathlete #Dfynefits #Dfyneshorts
17975057402745493,2025-07-09 07:18:54,en,INSTAGRAM,"  PRIME DAY SALES ARE OUT Incredible products, up to 40% discounts, take advantage of those offers on amazon, prime sales finish soon ehplabs amazon #fitlife #fitness #fitnesslife #sales #ehplabs #supplements"
18103879738545623,2025-07-09 18:25:04,en,INSTAGRAM,  Amazon Prime Day lets goooo. This is your sign to take your gut health seriously. ✅ Up to 50% Off Sitewide ✅ Special Discounts on OxyGreensMention Amazon Prime Day Fine the link in my stories or bio ehplabs amazon #wellnessjourney #helathyhabbits #PrimeDayDeals #AmazonDeals #PrimePicks #AmazonHaul #ShopPrimeDay #GutHealthMatters #WellnessTrends #HealthyLiving
18299107960222157,2025-07-10 07:24:50,en,INSTAGRAM,  POV: You order a years worth of supplements off Amazon and act as if it was an accident ehplabs #amazon #amazonprimeday #amazonprime #ehplabs #ehplabsathlete #gym #protein #fitnessmotivation #gymlife #
18044695613542955,2025-07-10 14:57:47,en,INSTAGRAM,  You thought the summer sale was good. Check out Amazon Prime Day sales happening NOW!! amazon amazonprime ehplabs
18044946908285476,2025-07-10 20:32:48,en,INSTAGRAM,"  My fav preworkout thus far! With no crash afterwards, I honestly wasn't expecting it to taste so good! Grab your ehplabs on my TikTok Shop or Amazon Storefront. . both links are in story & bio #oxyshred #preworkoutvibes #preworkoutpowder #preworkoutreview #oxyshredpreworkout #gymmotivation #weightloss #dayinthelife #tiktokshop #fyp≥*viral"
18089535070645793,2025-07-10 22:49:31,en,INSTAGRAM,  My Amazon cart is officially stocked with the essentials: Oxyshred energy drinks for that workout boost and Oxygreens to keep me feeling good from the inside out. Anyone else stocking up on Amazon? Send help. ehplabs amazon #Amazonprimeday
18019855433713280,2025-07-11 03:22:54,en,INSTAGRAM,  Whats the first thing you do when you wake up ?? Thanks to amazonaustralia amazon PRIME DAY SALE WHICH IS LIVE NOW but ending soon I got to stock up on my favourite. ehplabs OXYGREENS
17901840177215429,2025-07-12 15:10:00,en,INSTAGRAM,"  Please don't get me yapping, I will not stop. Love my gym friends and the people I've met in this community. Bottoms: amazon  aurolaus Top: gymshark gymsharkwomen Shoes: newbalance Gym accessories: upppergea Pre worky: ehplabs #bodybuiltnotbought #gym #fitness #workout #fit #fitnessmotivation #bodybuilding #motivation #gymmotivation #training #gymlife #muscle #health #fitfam #girlswholift #transformation #gymgirl  #exercise #healthy #healthylifestyle #strong #naturalweightloss #instafit #fitnessaddict #fitnessjourney #cardio #musclemami #gymwithme"
974046515959592_24358678023736445,2025-07-12 23:25:16,en,FACEBOOK,"  “When you witness the profound impact that your dedication and enthusiasm can have, it's truly transformative.” #GymGirl #FitnessGirl #FitGirl #gymrat #gymaddict #GirlsWhoLift #GymGirls #StrongGirl #GymBabe #GymGirlie #GirlWithMuscle  #FitnessMotivation #GymMotivation #WorkoutMotivation #FitFam #Fitspiration #FitnessJourney #NoPainNoGain #TrainHard #GymLife #GymWear #GymSelfie #FitnessLifestyle Facebook Music on Facebook Meta Under Armour Lyfta - Gym Workout Tracker First Health Club EHPlabs Nike SportswearGym Girls JustStrong Gym Girls Gymlifestyle Gymshark Nike Nike Canada lululemonAmazon.ca Korean DramAmazing Gym Aholic club Thrivin Gymwear Gym Is My Love LYFTLYFE Apparel Gym Addict Gymrat"
109494052107157_24363523003251947,2025-07-13 14:44:23,en,FACEBOOK,  “It's incredible how empowered I feel after pushing through challenging workouts.” #GymGirl #FitnessGirl #FitGirl #gymrat  #gymaddict #GirlsWhoLift #GymGirls #StrongGirl #GymBabe #GymGirlie #GirlWithMuscle  #FitnessMotivation #GymMotivation #WorkoutMotivation #FitFam #Fitspiration #FitnessJourney #NoPainNoGain #TrainHard #GymLife #GymWear #GymSelfie #FitnessLifestyle@highlightMeta Music on Facebook Fitwaffle MetDaan Gymlifestyle Gymshark EHPlabs First Health Club DFYNE lululemon Nike Gym Addict Thrivin Gymwear JustStrong Aussie Fitness Gym Memes Gymrat Amazon.ca
974046515959592_24363523003251947,2025-07-13 14:44:23,en,FACEBOOK,  “It's incredible how empowered I feel after pushing through challenging workouts.” #GymGirl #FitnessGirl #FitGirl #gymrat  #gymaddict #GirlsWhoLift #GymGirls #StrongGirl #GymBabe #GymGirlie #GirlWithMuscle  #FitnessMotivation #GymMotivation #WorkoutMotivation #FitFam #Fitspiration #FitnessJourney #NoPainNoGain #TrainHard #GymLife #GymWear #GymSelfie #FitnessLifestyle@highlightMeta Music on Facebook Fitwaffle MetDaan Gymlifestyle Gymshark EHPlabs First Health Club DFYNE lululemon Nike Gym Addict Thrivin Gymwear JustStrong Aussie Fitness Gym Memes Gymrat Amazon.ca
